"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Mintable Application","Search for BoardApe","SUCCESS","2022-05-30T09:09:27.338+05:30[Asia/Colombo]","0.0","17.27"
"Login to Mintable Application","Successful login","SUCCESS","2022-05-30T09:09:45.512+05:30[Asia/Colombo]","0.0","17.66"
